,R_LNLT1_APB_DENERV,R_LNLT1_LP_APB_DENERV,R_LNLT1_APB_NEUR_ACT,R_LNLT1_LP_APB_NEUR_ACT,R_LNLT1_APB_MUDENS,R_LNLT1_LP_APB_MUDENS,R_LNLT1_APB_DE_REGEN,R_LNLT1_LP_APB_DE_REGEN,R_LNLT1_APB_MUSIZE,R_LNLT1_LP_APB_MUSIZE,R_LNLT1_APB_MALOSS,R_LNLT1_LP_APB_MALOSS,DIFFN_TYPE,DIFFN_MOT_SEV,DIFFN_SENS_SEV,DIFFN_SEV,DIFFN_M_SEV_PROX,DIFFN_M_SEV_DIST,DIFFN_DISTR,DIFFN_S_SEV_DIST,R_LNLLP_APB_DENERV,R_LNLLP_APB_NEUR_ACT,R_LNLLP_APB_MUDENS,R_LNLLP_APB_DE_REGEN,R_LNLW_MED_TIME,R_LNLW_APB_DENERV,R_LNLW_APB_NEUR_ACT,R_LNLW_APB_MUDENS,R_LNLW_APB_DE_REGEN,R_LNLW_APB_MUSIZE,DIFFN_TIME,R_DIFFN_APB_DENERV,R_DIFFN_APB_NEUR_ACT,R_DIFFN_APB_MUDENS,R_DIFFN_APB_DE_REGEN,R_DIFFN_APB_MUSIZE,R_DIFFN_APB_MALOSS,R_DIFFN_MED_DIFSLOW,R_DIFFN_MED_BLOCK,R_LNLBE_MED_TIME,R_LNLBE_APB_DENERV,R_LNLBE_APB_NEUR_ACT,R_LNLBE_APB_MUDENS,R_LNLBE_APB_DE_REGEN,R_LNLBE_APB_MUSIZE,R_LNLLP_APB_MUSIZE,R_LNLLP_APB_MALOSS,DIFFN_PATHO,R_DIFFN_MEDD2_SALOSS,R_DIFFN_MEDD2_DIFSLOW,R_DIFFN_MEDD2_BLOCK,R_DIFFN_MEDD2_DISP,R_MYDY_APB_DENERV,R_MYOP_MYDY_APB_DENERV,R_MYOP_APB_DENERV,R_DIFFN_LNLW_APB_DENERV,R_LNLT1_LP_BE_APB_DENERV,R_DIFFN_LNLW_APB_NEUR_ACT,R_LNLT1_LP_BE_APB_NEUR_ACT,R_MYDY_APB_MUDENS,R_MYOP_MYDY_APB_MUDENS,R_MYOP_APB_MUDENS,R_DIFFN_LNLW_APB_MUDENS,R_LNLT1_LP_BE_APB_MUDENS,R_MYDY_APB_DE_REGEN,R_MYOP_MYDY_APB_DE_REGEN,R_MYOP_APB_DE_REGEN,R_DIFFN_LNLW_APB_DE_REGEN,R_LNLT1_LP_BE_APB_DE_REGEN,R_MYOP_APB_MUSIZE,R_MYOP_MYDY_APB_MUSIZE,R_MYDY_APB_MUSIZE,R_LNLW_MEDD2_DISP_WD,R_DIFFN_LNLW_MEDD2_DISP_WD,R_DIFFN_LNLW_MEDD2_SALOSS,R_LNLW_MEDD2_SALOSS_WD,R_NMT_APB_DENERV,R_MUSCLE_APB_DENERV,R_LNL_DIFFN_APB_DENERV,R_MYAS_APB_MUDENS,R_MUSCLE_APB_MUDENS,R_LNL_DIFFN_APB_MUDENS,R_LNL_DIFFN_APB_DE_REGEN,R_DIFFN_LNLW_APB_MUSIZE,R_DIFFN_LNLW_APB_MALOSS,R_LNLW_APB_MALOSS,R_LNLT1_LP_BE_APB_MUSIZE,R_LNLBE_APB_MALOSS,R_LNLT1_LP_BE_APB_MALOSS,R_LNL_DIFFN_APB_MUSIZE,R_APB_DENERV,R_APB_NEUR_ACT,R_APB_MUDENS,R_APB_DE_REGEN,R_LNLW_MED_SEV,R_LNLW_MED_BLOCK,R_LNLW_MEDD2_LD_WD,R_LNLW_MEDD2_BLOCK_WD,R_MED_LD_WA,R_LNLW_MED_PATHO,R_LNLW_MEDD2_RD_WD,R_MED_RD_WA,R_LNLBE_MED_DIFSLOW,R_MED_DIFSLOW_WA,R_MED_BLOCK_WA,R_MYAS_APB_NMT,R_APB_NMT,R_DE_REGEN_APB_NMT,R_APB_MUSIZE,R_APB_MALOSS,R_MED_DIFSLOW_EW,R_LNLBE_MED_SEV,R_LNLBE_MED_BLOCK,R_LNLBE_MEDD2_SALOSS_EW,R_LNLBE_MEDD2_LD_EW,R_LNLBE_MEDD2_BLOCK_EW,R_LNLBE_MEDD2_DISP_EW,R_MED_LD_EW,R_LNLBE_MED_PATHO,R_LNLBE_MEDD2_DIFSLOW_WD,R_LNLBE_MEDD2_RD_EW,R_MED_RD_EW,R_MED_BLOCK_EW,R_MEDD2_RD_WD,R_MEDD2_LD_WD,R_MEDD2_DIFSLOW_WD,R_MEDD2_BLOCK_WD,R_MEDD2_DISP_WD,R_MEDD2_SALOSS,R_MEDD2_DIFSLOW_EW,R_MEDD2_RD_EW,R_MEDD2_LD_EW,R_MEDD2_BLOCK_EW,R_MEDD2_DISP_EW,R_MED_RDLDDEL,R_MED_DCV_WA,R_APB_MULOSS,R_MED_DCV_EW,R_MED_RDLDCV_EW,R_MEDD2_LSLOW_WD,R_MEDD2_DSLOW_WD,R_MEDD2_EFFAXLOSS,R_MEDD2_DSLOW_EW,R_MEDD2_LSLOW_EW,R_MED_ALLDEL_WA,R_MED_ALLCV_EW,R_MEDD2_ALLCV_EW,R_MEDD2_ALLCV_WD,R_MEDD2_ALLAMP_WD,R_MEDD2_DISP_EWD,R_APB_SPONT_INS_ACT,R_APB_SPONT_HF_DISCH,R_APB_SPONT_DENERV_ACT,R_APB_SPONT_NEUR_DISCH,R_APB_SF_DENSITY,R_APB_SF_JITTER,R_APB_REPSTIM_POST_DECR,R_APB_REPSTIM_FACILI,R_APB_REPSTIM_DECR,R_APB_MUPINSTAB,R_APB_EFFMUS,R_APB_MUPSATEL,R_APB_QUAN_MUPPOLY,R_APB_QUAL_MUPPOLY,R_APB_MUPDUR,R_APB_QUAL_MUPDUR,R_APB_QUAN_MUPDUR,R_APB_MUPAMP,R_APB_QUAL_MUPAMP,R_APB_QUAN_MUPAMP,R_APB_TA_CONCL,R_APB_MVA_AMP,R_APB_ALLAMP_WA,R_APB_MVA_RECRUIT,R_APB_MUSCLE_VOL,R_APB_VOL_ACT,R_APB_FORCE,R_MED_LAT_WA,R_APB_REPSTIM_CMAPAMP,R_MED_AMP_WA,R_MED_CV_EW,R_MED_AMPR_EW,R_MEDD2_CV_WD,R_MEDD2_AMP_WD,R_MEDD2_CV_EW,R_MEDD2_AMPR_EW
R_LNLT1_APB_DENERV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_LP_APB_DENERV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_APB_NEUR_ACT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_LP_APB_NEUR_ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_APB_MUDENS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_LP_APB_MUDENS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_APB_DE_REGEN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_LP_APB_DE_REGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_APB_MUSIZE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LNLT1_LP_APB_MUSIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
