Relationship,Number
jordtype and komm are not conditionally related under nedbarea,0
jordtype and komm are conditionally related under nmin,1
jordtype and komm are conditionally related under aar_mod,1
jordtype and komm are not conditionally related under forfrugt,0
jordtype and komm are not conditionally related under potnmin,0
jordtype and komm are conditionally related under jordn,1
jordtype and komm are not conditionally related under pesticid,0
jordtype and komm are not conditionally related under exptgens,0
jordtype and komm are conditionally related under mod_nmin,1
jordtype and komm are conditionally related under ngodnt,1
jordtype and komm are not conditionally related under nopt,0
jordtype and komm are conditionally related under ngodnn,1
jordtype and komm are conditionally related under ngodn,1
jordtype and komm are conditionally related under nprot,1
jordtype and komm are not conditionally related under saatid,0
jordtype and komm are not conditionally related under rokap,0
jordtype and komm are not conditionally related under dgv1059,0
jordtype and komm are not conditionally related under sort,0
jordtype and komm are not conditionally related under srtprot,0
jordtype and komm are not conditionally related under nplac,0
jordtype and komm are not conditionally related under dg25,0
jordtype and komm are conditionally related under ngtilg,1
jordtype and komm are conditionally related under ntilg,1
jordtype and komm are not conditionally related under saamng,0
jordtype and komm are not conditionally related under tkvs,0
jordtype and komm are not conditionally related under saakern,0
jordtype and komm are not conditionally related under partigerm,0
jordtype and komm are not conditionally related under frspdag,0
jordtype and komm are not conditionally related under jordinf,0
jordtype and komm are not conditionally related under markgrm,0
jordtype and komm are not conditionally related under antplnt,0
jordtype and komm are not conditionally related under sorttkv,0
jordtype and komm are conditionally related under aks_m2,1
jordtype and komm are conditionally related under keraks,1
jordtype and komm are not conditionally related under dgv5980,0
jordtype and komm are conditionally related under aks_vgt,1
jordtype and komm are not conditionally related under srtsize,0
jordtype and komm are conditionally related under ksort,1
jordtype and komm are conditionally related under protein,1
jordtype and komm are conditionally related under udb,1
jordtype and komm are conditionally related under spndx,1
jordtype and komm are conditionally related under tkv,1
jordtype and komm are conditionally related under slt22,1
jordtype and komm are conditionally related under s2225,1
jordtype and komm are conditionally related under s2528,1
jordtype and komm are not conditionally related under bgbyg,0
jordtype and nedbarea are not conditionally related under komm,0
jordtype and nedbarea are conditionally related under nmin,1
jordtype and nedbarea are not conditionally related under aar_mod,0
jordtype and nedbarea are not conditionally related under forfrugt,0
jordtype and nedbarea are not conditionally related under potnmin,0
jordtype and nedbarea are conditionally related under jordn,1
jordtype and nedbarea are not conditionally related under pesticid,0
jordtype and nedbarea are not conditionally related under exptgens,0
jordtype and nedbarea are conditionally related under mod_nmin,1
jordtype and nedbarea are conditionally related under ngodnt,1
jordtype and nedbarea are not conditionally related under nopt,0
jordtype and nedbarea are conditionally related under ngodnn,1
jordtype and nedbarea are conditionally related under ngodn,1
jordtype and nedbarea are conditionally related under nprot,1
jordtype and nedbarea are not conditionally related under saatid,0
jordtype and nedbarea are not conditionally related under rokap,0
jordtype and nedbarea are not conditionally related under dgv1059,0
jordtype and nedbarea are not conditionally related under sort,0
jordtype and nedbarea are not conditionally related under srtprot,0
jordtype and nedbarea are not conditionally related under nplac,0
jordtype and nedbarea are not conditionally related under dg25,0
jordtype and nedbarea are conditionally related under ngtilg,1
jordtype and nedbarea are conditionally related under ntilg,1
jordtype and nedbarea are not conditionally related under saamng,0
jordtype and nedbarea are not conditionally related under tkvs,0
jordtype and nedbarea are not conditionally related under saakern,0
jordtype and nedbarea are not conditionally related under partigerm,0
jordtype and nedbarea are not conditionally related under frspdag,0
jordtype and nedbarea are not conditionally related under jordinf,0
jordtype and nedbarea are not conditionally related under markgrm,0
jordtype and nedbarea are not conditionally related under antplnt,0
jordtype and nedbarea are not conditionally related under sorttkv,0
jordtype and nedbarea are conditionally related under aks_m2,1
jordtype and nedbarea are conditionally related under keraks,1
jordtype and nedbarea are not conditionally related under dgv5980,0
jordtype and nedbarea are conditionally related under aks_vgt,1
jordtype and nedbarea are not conditionally related under srtsize,0
jordtype and nedbarea are conditionally related under ksort,1
jordtype and nedbarea are conditionally related under protein,1
jordtype and nedbarea are conditionally related under udb,1
jordtype and nedbarea are conditionally related under spndx,1
jordtype and nedbarea are conditionally related under tkv,1
jordtype and nedbarea are conditionally related under slt22,1
jordtype and nedbarea are conditionally related under s2225,1
jordtype and nedbarea are conditionally related under s2528,1
jordtype and nedbarea are not conditionally related under bgbyg,0
jordtype and nmin are related,1
jordtype and aar_mod are related,1
jordtype and forfrugt are not conditionally related under komm,0
jordtype and forfrugt are not conditionally related under nedbarea,0
jordtype and forfrugt are not conditionally related under nmin,0
jordtype and forfrugt are not conditionally related under aar_mod,0
jordtype and forfrugt are conditionally related under potnmin,1
jordtype and forfrugt are conditionally related under jordn,1
jordtype and forfrugt are not conditionally related under pesticid,0
jordtype and forfrugt are conditionally related under exptgens,1
jordtype and forfrugt are not conditionally related under mod_nmin,0
jordtype and forfrugt are conditionally related under ngodnt,1
jordtype and forfrugt are conditionally related under nopt,1
jordtype and forfrugt are conditionally related under ngodnn,1
jordtype and forfrugt are conditionally related under ngodn,1
jordtype and forfrugt are conditionally related under nprot,1
jordtype and forfrugt are not conditionally related under saatid,0
jordtype and forfrugt are not conditionally related under rokap,0
jordtype and forfrugt are not conditionally related under dgv1059,0
jordtype and forfrugt are not conditionally related under sort,0
jordtype and forfrugt are not conditionally related under srtprot,0
jordtype and forfrugt are not conditionally related under nplac,0
jordtype and forfrugt are not conditionally related under dg25,0
jordtype and forfrugt are conditionally related under ngtilg,1
jordtype and forfrugt are conditionally related under ntilg,1
jordtype and forfrugt are not conditionally related under saamng,0
jordtype and forfrugt are not conditionally related under tkvs,0
jordtype and forfrugt are not conditionally related under saakern,0
jordtype and forfrugt are not conditionally related under partigerm,0
jordtype and forfrugt are not conditionally related under frspdag,0
jordtype and forfrugt are not conditionally related under jordinf,0
jordtype and forfrugt are not conditionally related under markgrm,0
jordtype and forfrugt are not conditionally related under antplnt,0
jordtype and forfrugt are not conditionally related under sorttkv,0
jordtype and forfrugt are conditionally related under aks_m2,1
jordtype and forfrugt are conditionally related under keraks,1
jordtype and forfrugt are not conditionally related under dgv5980,0
jordtype and forfrugt are conditionally related under aks_vgt,1
jordtype and forfrugt are not conditionally related under srtsize,0
jordtype and forfrugt are conditionally related under ksort,1
jordtype and forfrugt are conditionally related under protein,1
jordtype and forfrugt are conditionally related under udb,1
jordtype and forfrugt are conditionally related under spndx,1
jordtype and forfrugt are conditionally related under tkv,1
jordtype and forfrugt are conditionally related under slt22,1
jordtype and forfrugt are conditionally related under s2225,1
jordtype and forfrugt are conditionally related under s2528,1
jordtype and forfrugt are not conditionally related under bgbyg,0
jordtype and potnmin are related,1
jordtype and jordn are related,1
jordtype and pesticid are not conditionally related under komm,0
jordtype and pesticid are not conditionally related under nedbarea,0
jordtype and pesticid are not conditionally related under nmin,0
jordtype and pesticid are not conditionally related under aar_mod,0
jordtype and pesticid are not conditionally related under forfrugt,0
jordtype and pesticid are not conditionally related under potnmin,0
jordtype and pesticid are not conditionally related under jordn,0
jordtype and pesticid are conditionally related under exptgens,1
jordtype and pesticid are not conditionally related under mod_nmin,0
jordtype and pesticid are conditionally related under ngodnt,1
jordtype and pesticid are conditionally related under nopt,1
jordtype and pesticid are conditionally related under ngodnn,1
jordtype and pesticid are conditionally related under ngodn,1
jordtype and pesticid are conditionally related under nprot,1
jordtype and pesticid are not conditionally related under saatid,0
jordtype and pesticid are not conditionally related under rokap,0
jordtype and pesticid are not conditionally related under dgv1059,0
jordtype and pesticid are not conditionally related under sort,0
jordtype and pesticid are not conditionally related under srtprot,0
jordtype and pesticid are not conditionally related under nplac,0
jordtype and pesticid are not conditionally related under dg25,0
jordtype and pesticid are conditionally related under ngtilg,1
jordtype and pesticid are conditionally related under ntilg,1
jordtype and pesticid are not conditionally related under saamng,0
jordtype and pesticid are not conditionally related under tkvs,0
jordtype and pesticid are not conditionally related under saakern,0
jordtype and pesticid are not conditionally related under partigerm,0
jordtype and pesticid are not conditionally related under frspdag,0
jordtype and pesticid are not conditionally related under jordinf,0
jordtype and pesticid are not conditionally related under markgrm,0
jordtype and pesticid are not conditionally related under antplnt,0
jordtype and pesticid are not conditionally related under sorttkv,0
jordtype and pesticid are conditionally related under aks_m2,1
jordtype and pesticid are conditionally related under keraks,1
jordtype and pesticid are not conditionally related under dgv5980,0
jordtype and pesticid are conditionally related under aks_vgt,1
jordtype and pesticid are not conditionally related under srtsize,0
jordtype and pesticid are conditionally related under ksort,1
jordtype and pesticid are conditionally related under protein,1
jordtype and pesticid are conditionally related under udb,1
jordtype and pesticid are conditionally related under spndx,1
jordtype and pesticid are conditionally related under tkv,1
jordtype and pesticid are conditionally related under slt22,1
jordtype and pesticid are conditionally related under s2225,1
jordtype and pesticid are conditionally related under s2528,1
jordtype and pesticid are not conditionally related under bgbyg,0
jordtype and exptgens are related,1
jordtype and mod_nmin are related,1
jordtype and ngodnt are related,1
jordtype and nopt are related,1
jordtype and ngodnn are related,1
jordtype and ngodn are related,1
jordtype and nprot are related,1
jordtype and saatid are not conditionally related under komm,0
jordtype and saatid are not conditionally related under nedbarea,0
jordtype and saatid are not conditionally related under nmin,0
jordtype and saatid are not conditionally related under aar_mod,0
jordtype and saatid are not conditionally related under forfrugt,0
jordtype and saatid are not conditionally related under potnmin,0
jordtype and saatid are not conditionally related under jordn,0
jordtype and saatid are not conditionally related under pesticid,0
jordtype and saatid are not conditionally related under exptgens,0
jordtype and saatid are not conditionally related under mod_nmin,0
jordtype and saatid are not conditionally related under ngodnt,0
jordtype and saatid are not conditionally related under nopt,0
jordtype and saatid are not conditionally related under ngodnn,0
jordtype and saatid are not conditionally related under ngodn,0
jordtype and saatid are not conditionally related under nprot,0
jordtype and saatid are not conditionally related under rokap,0
jordtype and saatid are conditionally related under dgv1059,1
jordtype and saatid are not conditionally related under sort,0
jordtype and saatid are not conditionally related under srtprot,0
jordtype and saatid are not conditionally related under nplac,0
jordtype and saatid are not conditionally related under dg25,0
jordtype and saatid are conditionally related under ngtilg,1
jordtype and saatid are conditionally related under ntilg,1
jordtype and saatid are not conditionally related under saamng,0
jordtype and saatid are not conditionally related under tkvs,0
jordtype and saatid are not conditionally related under saakern,0
jordtype and saatid are not conditionally related under partigerm,0
jordtype and saatid are not conditionally related under frspdag,0
jordtype and saatid are not conditionally related under jordinf,0
jordtype and saatid are not conditionally related under markgrm,0
jordtype and saatid are not conditionally related under antplnt,0
jordtype and saatid are not conditionally related under sorttkv,0
jordtype and saatid are conditionally related under aks_m2,1
jordtype and saatid are conditionally related under keraks,1
jordtype and saatid are not conditionally related under dgv5980,0
jordtype and saatid are conditionally related under aks_vgt,1
jordtype and saatid are not conditionally related under srtsize,0
jordtype and saatid are conditionally related under ksort,1
jordtype and saatid are conditionally related under protein,1
jordtype and saatid are conditionally related under udb,1
jordtype and saatid are conditionally related under spndx,1
jordtype and saatid are conditionally related under tkv,1
jordtype and saatid are conditionally related under slt22,1
jordtype and saatid are conditionally related under s2225,1
jordtype and saatid are conditionally related under s2528,1
jordtype and saatid are conditionally related under bgbyg,1
jordtype and rokap are related,1
jordtype and dgv1059 are related,1
jordtype and sort are not conditionally related under komm,0
jordtype and sort are not conditionally related under nedbarea,0
jordtype and sort are not conditionally related under nmin,0
jordtype and sort are not conditionally related under aar_mod,0
jordtype and sort are not conditionally related under forfrugt,0
jordtype and sort are not conditionally related under potnmin,0
jordtype and sort are not conditionally related under jordn,0
jordtype and sort are not conditionally related under pesticid,0
jordtype and sort are not conditionally related under exptgens,0
jordtype and sort are not conditionally related under mod_nmin,0
jordtype and sort are not conditionally related under ngodnt,0
jordtype and sort are not conditionally related under nopt,0
jordtype and sort are not conditionally related under ngodnn,0
jordtype and sort are not conditionally related under ngodn,0
jordtype and sort are not conditionally related under nprot,0
jordtype and sort are not conditionally related under saatid,0
jordtype and sort are not conditionally related under rokap,0
jordtype and sort are not conditionally related under dgv1059,0
jordtype and sort are not conditionally related under srtprot,0
jordtype and sort are not conditionally related under nplac,0
jordtype and sort are not conditionally related under dg25,0
jordtype and sort are not conditionally related under ngtilg,0
jordtype and sort are not conditionally related under ntilg,0
jordtype and sort are not conditionally related under saamng,0
jordtype and sort are not conditionally related under tkvs,0
jordtype and sort are not conditionally related under saakern,0
jordtype and sort are not conditionally related under partigerm,0
jordtype and sort are not conditionally related under frspdag,0
jordtype and sort are not conditionally related under jordinf,0
jordtype and sort are not conditionally related under markgrm,0
jordtype and sort are not conditionally related under antplnt,0
jordtype and sort are not conditionally related under sorttkv,0
jordtype and sort are conditionally related under aks_m2,1
jordtype and sort are conditionally related under keraks,1
jordtype and sort are not conditionally related under dgv5980,0
jordtype and sort are conditionally related under aks_vgt,1
jordtype and sort are not conditionally related under srtsize,0
jordtype and sort are conditionally related under ksort,1
jordtype and sort are conditionally related under protein,1
jordtype and sort are conditionally related under udb,1
jordtype and sort are conditionally related under spndx,1
jordtype and sort are conditionally related under tkv,1
jordtype and sort are conditionally related under slt22,1
jordtype and sort are conditionally related under s2225,1
jordtype and sort are conditionally related under s2528,1
jordtype and sort are not conditionally related under bgbyg,0
jordtype and srtprot are not conditionally related under komm,0
jordtype and srtprot are not conditionally related under nedbarea,0
jordtype and srtprot are not conditionally related under nmin,0
jordtype and srtprot are not conditionally related under aar_mod,0
jordtype and srtprot are not conditionally related under forfrugt,0
jordtype and srtprot are not conditionally related under potnmin,0
jordtype and srtprot are not conditionally related under jordn,0
jordtype and srtprot are not conditionally related under pesticid,0
jordtype and srtprot are not conditionally related under exptgens,0
jordtype and srtprot are not conditionally related under mod_nmin,0
jordtype and srtprot are not conditionally related under ngodnt,0
jordtype and srtprot are not conditionally related under nopt,0
jordtype and srtprot are not conditionally related under ngodnn,0
jordtype and srtprot are not conditionally related under ngodn,0
jordtype and srtprot are not conditionally related under nprot,0
jordtype and srtprot are not conditionally related under saatid,0
jordtype and srtprot are not conditionally related under rokap,0
jordtype and srtprot are not conditionally related under dgv1059,0
jordtype and srtprot are not conditionally related under sort,0
jordtype and srtprot are not conditionally related under nplac,0
jordtype and srtprot are not conditionally related under dg25,0
jordtype and srtprot are not conditionally related under ngtilg,0
jordtype and srtprot are not conditionally related under ntilg,0
jordtype and srtprot are not conditionally related under saamng,0
jordtype and srtprot are not conditionally related under tkvs,0
jordtype and srtprot are not conditionally related under saakern,0
jordtype and srtprot are not conditionally related under partigerm,0
jordtype and srtprot are not conditionally related under frspdag,0
jordtype and srtprot are not conditionally related under jordinf,0
jordtype and srtprot are not conditionally related under markgrm,0
jordtype and srtprot are not conditionally related under antplnt,0
jordtype and srtprot are not conditionally related under sorttkv,0
jordtype and srtprot are not conditionally related under aks_m2,0
jordtype and srtprot are not conditionally related under keraks,0
jordtype and srtprot are not conditionally related under dgv5980,0
jordtype and srtprot are not conditionally related under aks_vgt,0
jordtype and srtprot are not conditionally related under srtsize,0
jordtype and srtprot are not conditionally related under ksort,0
jordtype and srtprot are conditionally related under protein,1
jordtype and srtprot are not conditionally related under udb,0
jordtype and srtprot are not conditionally related under spndx,0
jordtype and srtprot are not conditionally related under tkv,0
jordtype and srtprot are not conditionally related under slt22,0
jordtype and srtprot are not conditionally related under s2225,0
jordtype and srtprot are not conditionally related under s2528,0
jordtype and srtprot are not conditionally related under bgbyg,0
jordtype and nplac are not conditionally related under komm,0
jordtype and nplac are not conditionally related under nedbarea,0
jordtype and nplac are not conditionally related under nmin,0
jordtype and nplac are not conditionally related under aar_mod,0
jordtype and nplac are not conditionally related under forfrugt,0
jordtype and nplac are not conditionally related under potnmin,0
jordtype and nplac are not conditionally related under jordn,0
jordtype and nplac are not conditionally related under pesticid,0
jordtype and nplac are not conditionally related under exptgens,0
jordtype and nplac are not conditionally related under mod_nmin,0
jordtype and nplac are not conditionally related under ngodnt,0
jordtype and nplac are not conditionally related under nopt,0
jordtype and nplac are not conditionally related under ngodnn,0
jordtype and nplac are not conditionally related under ngodn,0
jordtype and nplac are not conditionally related under nprot,0
jordtype and nplac are not conditionally related under saatid,0
jordtype and nplac are not conditionally related under rokap,0
jordtype and nplac are not conditionally related under dgv1059,0
jordtype and nplac are not conditionally related under sort,0
jordtype and nplac are not conditionally related under srtprot,0
jordtype and nplac are not conditionally related under dg25,0
jordtype and nplac are conditionally related under ngtilg,1
jordtype and nplac are conditionally related under ntilg,1
jordtype and nplac are not conditionally related under saamng,0
jordtype and nplac are not conditionally related under tkvs,0
jordtype and nplac are not conditionally related under saakern,0
jordtype and nplac are not conditionally related under partigerm,0
jordtype and nplac are not conditionally related under frspdag,0
jordtype and nplac are not conditionally related under jordinf,0
jordtype and nplac are not conditionally related under markgrm,0
jordtype and nplac are not conditionally related under antplnt,0
jordtype and nplac are not conditionally related under sorttkv,0
jordtype and nplac are conditionally related under aks_m2,1
jordtype and nplac are conditionally related under keraks,1
jordtype and nplac are not conditionally related under dgv5980,0
jordtype and nplac are conditionally related under aks_vgt,1
jordtype and nplac are not conditionally related under srtsize,0
jordtype and nplac are conditionally related under ksort,1
jordtype and nplac are conditionally related under protein,1
jordtype and nplac are conditionally related under udb,1
jordtype and nplac are conditionally related under spndx,1
jordtype and nplac are conditionally related under tkv,1
jordtype and nplac are conditionally related under slt22,1
jordtype and nplac are conditionally related under s2225,1
jordtype and nplac are conditionally related under s2528,1
jordtype and nplac are not conditionally related under bgbyg,0
