Relationship,Number
BirthAsphyxia and HypDistrib are related,1
BirthAsphyxia and HypoxiaInO2 are related,1
BirthAsphyxia and CO2 are related,1
BirthAsphyxia and ChestXray are related,1
BirthAsphyxia and Grunting are related,1
BirthAsphyxia and LVHreport are related,1
BirthAsphyxia and LowerBodyO2 are related,1
BirthAsphyxia and RUQO2 are related,1
BirthAsphyxia and CO2Report are related,1
BirthAsphyxia and XrayReport are related,1
BirthAsphyxia and Disease are related,1
BirthAsphyxia and GruntingReport are related,1
BirthAsphyxia and Age are related,1
BirthAsphyxia and LVH are related,1
BirthAsphyxia and DuctFlow are related,1
BirthAsphyxia and CardiacMixing are related,1
BirthAsphyxia and LungParench are related,1
BirthAsphyxia and LungFlow are related,1
BirthAsphyxia and Sick are related,1
HypDistrib and BirthAsphyxia are related,1
HypDistrib and HypoxiaInO2 are conditionally related under BirthAsphyxia,1
HypDistrib and HypoxiaInO2 are not conditionally related under CO2,0
HypDistrib and HypoxiaInO2 are not conditionally related under ChestXray,0
HypDistrib and HypoxiaInO2 are not conditionally related under Grunting,0
HypDistrib and HypoxiaInO2 are not conditionally related under LVHreport,0
HypDistrib and HypoxiaInO2 are conditionally related under LowerBodyO2,1
HypDistrib and HypoxiaInO2 are not conditionally related under RUQO2,0
HypDistrib and HypoxiaInO2 are not conditionally related under CO2Report,0
HypDistrib and HypoxiaInO2 are not conditionally related under XrayReport,0
HypDistrib and HypoxiaInO2 are conditionally related under Disease,1
HypDistrib and HypoxiaInO2 are not conditionally related under GruntingReport,0
HypDistrib and HypoxiaInO2 are not conditionally related under Age,0
HypDistrib and HypoxiaInO2 are not conditionally related under LVH,0
HypDistrib and HypoxiaInO2 are not conditionally related under DuctFlow,0
HypDistrib and HypoxiaInO2 are conditionally related under CardiacMixing,1
HypDistrib and HypoxiaInO2 are not conditionally related under LungParench,0
HypDistrib and HypoxiaInO2 are not conditionally related under LungFlow,0
HypDistrib and HypoxiaInO2 are not conditionally related under Sick,0
HypDistrib and CO2 are conditionally related under BirthAsphyxia,1
HypDistrib and CO2 are not conditionally related under HypoxiaInO2,0
HypDistrib and CO2 are not conditionally related under ChestXray,0
HypDistrib and CO2 are not conditionally related under Grunting,0
HypDistrib and CO2 are not conditionally related under LVHreport,0
HypDistrib and CO2 are not conditionally related under LowerBodyO2,0
HypDistrib and CO2 are not conditionally related under RUQO2,0
HypDistrib and CO2 are not conditionally related under CO2Report,0
HypDistrib and CO2 are not conditionally related under XrayReport,0
HypDistrib and CO2 are conditionally related under Disease,1
HypDistrib and CO2 are not conditionally related under GruntingReport,0
HypDistrib and CO2 are not conditionally related under Age,0
HypDistrib and CO2 are not conditionally related under LVH,0
HypDistrib and CO2 are not conditionally related under DuctFlow,0
HypDistrib and CO2 are not conditionally related under CardiacMixing,0
HypDistrib and CO2 are not conditionally related under LungParench,0
HypDistrib and CO2 are not conditionally related under LungFlow,0
HypDistrib and CO2 are not conditionally related under Sick,0
HypDistrib and ChestXray are conditionally related under BirthAsphyxia,1
HypDistrib and ChestXray are not conditionally related under HypoxiaInO2,0
HypDistrib and ChestXray are not conditionally related under CO2,0
HypDistrib and ChestXray are not conditionally related under Grunting,0
HypDistrib and ChestXray are not conditionally related under LVHreport,0
HypDistrib and ChestXray are not conditionally related under LowerBodyO2,0
HypDistrib and ChestXray are not conditionally related under RUQO2,0
HypDistrib and ChestXray are not conditionally related under CO2Report,0
HypDistrib and ChestXray are not conditionally related under XrayReport,0
HypDistrib and ChestXray are conditionally related under Disease,1
HypDistrib and ChestXray are not conditionally related under GruntingReport,0
HypDistrib and ChestXray are not conditionally related under Age,0
HypDistrib and ChestXray are not conditionally related under LVH,0
HypDistrib and ChestXray are not conditionally related under DuctFlow,0
HypDistrib and ChestXray are not conditionally related under CardiacMixing,0
HypDistrib and ChestXray are not conditionally related under LungParench,0
HypDistrib and ChestXray are not conditionally related under LungFlow,0
HypDistrib and ChestXray are not conditionally related under Sick,0
HypDistrib and Grunting are conditionally related under BirthAsphyxia,1
HypDistrib and Grunting are not conditionally related under HypoxiaInO2,0
HypDistrib and Grunting are not conditionally related under CO2,0
