Relationship,Number
GoodStudent and Age are related,1
GoodStudent and SocioEcon are related,1
GoodStudent and RiskAversion are conditionally related under Age,1
GoodStudent and RiskAversion are conditionally related under SocioEcon,1
GoodStudent and RiskAversion are not conditionally related under VehicleYear,0
GoodStudent and RiskAversion are not conditionally related under ThisCarDam,0
GoodStudent and RiskAversion are not conditionally related under RuggedAuto,0
GoodStudent and RiskAversion are not conditionally related under Accident,0
GoodStudent and RiskAversion are not conditionally related under MakeModel,0
GoodStudent and RiskAversion are not conditionally related under DrivQuality,0
GoodStudent and RiskAversion are not conditionally related under Mileage,0
GoodStudent and RiskAversion are not conditionally related under Antilock,0
GoodStudent and RiskAversion are not conditionally related under DrivingSkill,0
GoodStudent and RiskAversion are not conditionally related under SeniorTrain,0
GoodStudent and RiskAversion are not conditionally related under ThisCarCost,0
GoodStudent and RiskAversion are not conditionally related under Theft,0
GoodStudent and RiskAversion are not conditionally related under CarValue,0
GoodStudent and RiskAversion are not conditionally related under HomeBase,0
GoodStudent and RiskAversion are not conditionally related under AntiTheft,0
GoodStudent and RiskAversion are not conditionally related under PropCost,0
GoodStudent and RiskAversion are not conditionally related under OtherCarCost,0
GoodStudent and RiskAversion are not conditionally related under OtherCar,0
GoodStudent and RiskAversion are not conditionally related under MedCost,0
GoodStudent and RiskAversion are not conditionally related under Cushioning,0
GoodStudent and RiskAversion are not conditionally related under Airbag,0
GoodStudent and RiskAversion are not conditionally related under ILiCost,0
GoodStudent and RiskAversion are not conditionally related under DrivHist,0
GoodStudent and VehicleYear are conditionally related under Age,1
GoodStudent and VehicleYear are conditionally related under SocioEcon,1
GoodStudent and VehicleYear are not conditionally related under RiskAversion,0
GoodStudent and VehicleYear are not conditionally related under ThisCarDam,0
GoodStudent and VehicleYear are not conditionally related under RuggedAuto,0
GoodStudent and VehicleYear are not conditionally related under Accident,0
GoodStudent and VehicleYear are not conditionally related under MakeModel,0
GoodStudent and VehicleYear are not conditionally related under DrivQuality,0
GoodStudent and VehicleYear are not conditionally related under Mileage,0
GoodStudent and VehicleYear are not conditionally related under Antilock,0
GoodStudent and VehicleYear are not conditionally related under DrivingSkill,0
GoodStudent and VehicleYear are not conditionally related under SeniorTrain,0
GoodStudent and VehicleYear are not conditionally related under ThisCarCost,0
GoodStudent and VehicleYear are not conditionally related under Theft,0
GoodStudent and VehicleYear are not conditionally related under CarValue,0
GoodStudent and VehicleYear are not conditionally related under HomeBase,0
GoodStudent and VehicleYear are not conditionally related under AntiTheft,0
GoodStudent and VehicleYear are not conditionally related under PropCost,0
GoodStudent and VehicleYear are not conditionally related under OtherCarCost,0
GoodStudent and VehicleYear are not conditionally related under OtherCar,0
GoodStudent and VehicleYear are not conditionally related under MedCost,0
