Relationship,Number
Akt and Erk are related,1
Akt and Jnk are not conditionally related under Erk,0
Akt and Jnk are not conditionally related under Mek,0
Akt and Jnk are not conditionally related under P38,0
Akt and Jnk are not conditionally related under PIP2,0
Akt and Jnk are not conditionally related under PIP3,0
Akt and Jnk are conditionally related under PKA,1
Akt and Jnk are conditionally related under PKC,1
Akt and Jnk are not conditionally related under Plcg,0
Akt and Jnk are not conditionally related under Raf,0
Akt and Mek are related,1
Akt and P38 are not conditionally related under Erk,0
Akt and P38 are not conditionally related under Jnk,0
Akt and P38 are not conditionally related under Mek,0
Akt and P38 are not conditionally related under PIP2,0
Akt and P38 are not conditionally related under PIP3,0
Akt and P38 are conditionally related under PKA,1
Akt and P38 are conditionally related under PKC,1
Akt and P38 are not conditionally related under Plcg,0
Akt and P38 are not conditionally related under Raf,0
Akt and PIP2 are not conditionally related under Erk,0
Akt and PIP2 are not conditionally related under Jnk,0
Akt and PIP2 are not conditionally related under Mek,0
Akt and PIP2 are not conditionally related under P38,0
Akt and PIP2 are not conditionally related under PIP3,0
Akt and PIP2 are not conditionally related under PKA,0
Akt and PIP2 are not conditionally related under PKC,0
Akt and PIP2 are not conditionally related under Plcg,0
Akt and PIP2 are not conditionally related under Raf,0
Akt and PIP3 are not conditionally related under Erk,0
Akt and PIP3 are not conditionally related under Jnk,0
Akt and PIP3 are not conditionally related under Mek,0
Akt and PIP3 are not conditionally related under P38,0
Akt and PIP3 are not conditionally related under PIP2,0
Akt and PIP3 are not conditionally related under PKA,0
Akt and PIP3 are not conditionally related under PKC,0
Akt and PIP3 are not conditionally related under Plcg,0
Akt and PIP3 are not conditionally related under Raf,0
Akt and PKA are related,1
Akt and PKC are related,1
Akt and Plcg are not conditionally related under Erk,0
Akt and Plcg are not conditionally related under Jnk,0
Akt and Plcg are not conditionally related under Mek,0
Akt and Plcg are not conditionally related under P38,0
Akt and Plcg are not conditionally related under PIP2,0
Akt and Plcg are not conditionally related under PIP3,0
Akt and Plcg are not conditionally related under PKA,0
Akt and Plcg are not conditionally related under PKC,0
Akt and Plcg are not conditionally related under Raf,0
Akt and Raf are related,1
Erk and Akt are related,1
Erk and Jnk are not conditionally related under Akt,0
Erk and Jnk are not conditionally related under Mek,0
Erk and Jnk are not conditionally related under P38,0
Erk and Jnk are not conditionally related under PIP2,0
Erk and Jnk are not conditionally related under PIP3,0
Erk and Jnk are conditionally related under PKA,1
Erk and Jnk are conditionally related under PKC,1
Erk and Jnk are not conditionally related under Plcg,0
Erk and Jnk are not conditionally related under Raf,0
Erk and Mek are related,1
Erk and P38 are not conditionally related under Akt,0
Erk and P38 are not conditionally related under Jnk,0
Erk and P38 are not conditionally related under Mek,0
Erk and P38 are not conditionally related under PIP2,0
Erk and P38 are not conditionally related under PIP3,0
Erk and P38 are conditionally related under PKA,1
Erk and P38 are conditionally related under PKC,1
Erk and P38 are not conditionally related under Plcg,0
Erk and P38 are not conditionally related under Raf,0
Erk and PIP2 are not conditionally related under Akt,0
Erk and PIP2 are not conditionally related under Jnk,0
Erk and PIP2 are not conditionally related under Mek,0
Erk and PIP2 are not conditionally related under P38,0
Erk and PIP2 are not conditionally related under PIP3,0
Erk and PIP2 are not conditionally related under PKA,0
Erk and PIP2 are not conditionally related under PKC,0
Erk and PIP2 are not conditionally related under Plcg,0
Erk and PIP2 are not conditionally related under Raf,0
Erk and PIP3 are not conditionally related under Akt,0
Erk and PIP3 are not conditionally related under Jnk,0
Erk and PIP3 are not conditionally related under Mek,0
Erk and PIP3 are not conditionally related under P38,0
Erk and PIP3 are not conditionally related under PIP2,0
Erk and PIP3 are not conditionally related under PKA,0
Erk and PIP3 are not conditionally related under PKC,0
Erk and PIP3 are not conditionally related under Plcg,0
Erk and PIP3 are not conditionally related under Raf,0
Erk and PKA are related,1
Erk and PKC are related,1
Erk and Plcg are not conditionally related under Akt,0
Erk and Plcg are not conditionally related under Jnk,0
Erk and Plcg are not conditionally related under Mek,0
Erk and Plcg are not conditionally related under P38,0
Erk and Plcg are not conditionally related under PIP2,0
Erk and Plcg are not conditionally related under PIP3,0
Erk and Plcg are not conditionally related under PKA,0
Erk and Plcg are not conditionally related under PKC,0
Erk and Plcg are not conditionally related under Raf,0
Erk and Raf are related,1
Jnk and Akt are not conditionally related under Erk,0
Jnk and Akt are not conditionally related under Mek,0
Jnk and Akt are not conditionally related under P38,0
Jnk and Akt are not conditionally related under PIP2,0
Jnk and Akt are not conditionally related under PIP3,0
Jnk and Akt are conditionally related under PKA,1
Jnk and Akt are conditionally related under PKC,1
Jnk and Akt are not conditionally related under Plcg,0
Jnk and Akt are not conditionally related under Raf,0
Jnk and Erk are not conditionally related under Akt,0
Jnk and Erk are not conditionally related under Mek,0
Jnk and Erk are not conditionally related under P38,0
Jnk and Erk are not conditionally related under PIP2,0
Jnk and Erk are not conditionally related under PIP3,0
Jnk and Erk are conditionally related under PKA,1
Jnk and Erk are conditionally related under PKC,1
Jnk and Erk are not conditionally related under Plcg,0
Jnk and Erk are not conditionally related under Raf,0
Jnk and Mek are not conditionally related under Akt,0
Jnk and Mek are not conditionally related under Erk,0
Jnk and Mek are not conditionally related under P38,0
Jnk and Mek are not conditionally related under PIP2,0
Jnk and Mek are not conditionally related under PIP3,0
Jnk and Mek are conditionally related under PKA,1
Jnk and Mek are conditionally related under PKC,1
Jnk and Mek are not conditionally related under Plcg,0
Jnk and Mek are not conditionally related under Raf,0
Jnk and P38 are not conditionally related under Akt,0
Jnk and P38 are not conditionally related under Erk,0
Jnk and P38 are not conditionally related under Mek,0
Jnk and P38 are not conditionally related under PIP2,0
Jnk and P38 are not conditionally related under PIP3,0
Jnk and P38 are conditionally related under PKA,1
Jnk and P38 are conditionally related under PKC,1
Jnk and P38 are not conditionally related under Plcg,0
Jnk and P38 are not conditionally related under Raf,0
Jnk and PIP2 are not conditionally related under Akt,0
Jnk and PIP2 are not conditionally related under Erk,0
Jnk and PIP2 are not conditionally related under Mek,0
Jnk and PIP2 are not conditionally related under P38,0
Jnk and PIP2 are not conditionally related under PIP3,0
Jnk and PIP2 are not conditionally related under PKA,0
Jnk and PIP2 are not conditionally related under PKC,0
Jnk and PIP2 are not conditionally related under Plcg,0
Jnk and PIP2 are not conditionally related under Raf,0
Jnk and PIP3 are not conditionally related under Akt,0
Jnk and PIP3 are not conditionally related under Erk,0
Jnk and PIP3 are not conditionally related under Mek,0
Jnk and PIP3 are not conditionally related under P38,0
Jnk and PIP3 are not conditionally related under PIP2,0
Jnk and PIP3 are not conditionally related under PKA,0
Jnk and PIP3 are not conditionally related under PKC,0
Jnk and PIP3 are not conditionally related under Plcg,0
Jnk and PIP3 are not conditionally related under Raf,0
Jnk and PKA are related,1
Jnk and PKC are related,1
Jnk and Plcg are not conditionally related under Akt,0
Jnk and Plcg are not conditionally related under Erk,0
Jnk and Plcg are not conditionally related under Mek,0
Jnk and Plcg are not conditionally related under P38,0
Jnk and Plcg are not conditionally related under PIP2,0
Jnk and Plcg are not conditionally related under PIP3,0
Jnk and Plcg are not conditionally related under PKA,0
Jnk and Plcg are not conditionally related under PKC,0
Jnk and Plcg are not conditionally related under Raf,0
Jnk and Raf are not conditionally related under Akt,0
Jnk and Raf are not conditionally related under Erk,0
Jnk and Raf are not conditionally related under Mek,0
Jnk and Raf are not conditionally related under P38,0
Jnk and Raf are not conditionally related under PIP2,0
Jnk and Raf are not conditionally related under PIP3,0
Jnk and Raf are conditionally related under PKA,1
Jnk and Raf are conditionally related under PKC,1
Jnk and Raf are not conditionally related under Plcg,0
Mek and Akt are related,1
Mek and Erk are related,1
Mek and Jnk are not conditionally related under Akt,0
Mek and Jnk are not conditionally related under Erk,0
Mek and Jnk are not conditionally related under P38,0
Mek and Jnk are not conditionally related under PIP2,0
Mek and Jnk are not conditionally related under PIP3,0
Mek and Jnk are conditionally related under PKA,1
Mek and Jnk are conditionally related under PKC,1
Mek and Jnk are not conditionally related under Plcg,0
Mek and Jnk are not conditionally related under Raf,0
Mek and P38 are not conditionally related under Akt,0
Mek and P38 are not conditionally related under Erk,0
Mek and P38 are not conditionally related under Jnk,0
Mek and P38 are not conditionally related under PIP2,0
Mek and P38 are not conditionally related under PIP3,0
Mek and P38 are conditionally related under PKA,1
Mek and P38 are conditionally related under PKC,1
Mek and P38 are not conditionally related under Plcg,0
Mek and P38 are not conditionally related under Raf,0
